,cell,seurat
1,D28-1_1,2
2,D28-1_2,7
3,D28-1_4,1
4,D28-1_5,6
5,D28-1_13,6
6,D28-1_15,2
7,D28-1_17,2
8,D28-1_29,2
9,D28-1_30,2
10,D28-1_37,5
11,D28-1_38,5
12,D28-1_40,2
13,D28-1_41,2
14,D28-1_43,1
15,D28-1_49,6
16,D28-1_50,5
17,D28-1_51,2
18,D28-1_52,6
19,D28-1_55,5
20,D28-1_61,4
21,D28-1_62,5
22,D28-1_63,3
23,D28-1_65,1
24,D28-1_66,6
25,D28-1_67,5
26,D28-1_68,5
27,D28-1_73,5
28,D28-1_74,2
29,D28-1_75,2
30,D28-1_77,6
31,D28-1_80,6
32,D28-1_85,4
33,D28-1_86,5
34,D28-1_87,5
35,D28-1_88,2
36,D28-1_89,4
37,D28-1_90,6
38,D28-1_91,6
39,D28-2_1,5
40,D28-2_2,2
41,D28-2_4,5
42,D28-2_5,2
43,D28-2_13,6
44,D28-2_15,5
45,D28-2_16,6
46,D28-2_17,6
47,D28-2_18,5
48,D28-2_26,6
49,D28-2_28,2
50,D28-2_29,6
51,D28-2_37,2
52,D28-2_38,1
53,D28-2_39,5
54,D28-2_40,6
55,D28-2_41,7
56,D28-2_42,5
57,D28-2_43,2
58,D28-2_49,5
59,D28-2_51,2
60,D28-2_52,2
61,D28-2_53,5
62,D28-2_61,5
63,D28-2_64,6
64,D28-2_65,2
65,D28-2_73,1
66,D28-2_74,5
67,D28-2_75,5
68,D28-2_76,7
69,D28-2_78,5
70,D28-2_79,7
71,D28-2_85,2
72,D28-2_86,5
73,D28-2_87,5
74,D28-2_89,5
75,D28-2_90,2
76,D28-2_91,4
77,D28-3_3,2
78,D28-3_4,5
79,D28-3_5,2
80,D28-3_6,1
81,D28-3_7,2
82,D28-3_8,3
83,D28-3_14,4
84,D28-3_15,2
85,D28-3_16,4
86,D28-3_18,4
87,D28-3_25,5
88,D28-3_26,5
89,D28-3_27,1
90,D28-3_28,5
91,D28-3_29,6
92,D28-3_30,1
93,D28-3_31,5
94,D28-3_37,1
95,D28-3_38,2
96,D28-3_40,5
97,D28-3_41,1
98,D28-3_42,2
99,D28-3_43,7
100,D28-3_44,5
101,D28-3_50,5
102,D28-3_51,5
103,D28-3_52,5
104,D28-3_53,6
105,D28-3_54,6
106,D28-3_55,2
107,D28-3_61,4
108,D28-3_62,5
109,D28-3_63,6
110,D28-3_64,2
111,D28-3_65,5
112,D28-3_68,2
113,D28-3_69,2
114,D28-3_73,6
115,D28-3_75,5
116,D28-3_76,2
117,D28-3_77,5
118,D28-3_78,4
119,D28-3_79,3
120,D28-3_85,5
121,D28-3_86,6
122,D28-3_88,7
123,D28-3_89,1
124,D28-3_90,5
125,D28-3_91,5
126,D28-3_92,2
127,D28-4_1,7
128,D28-4_3,4
129,D28-4_4,5
130,D28-4_13,2
131,D28-4_14,7
132,D28-4_15,2
133,D28-4_17,5
134,D28-4_22,6
135,D28-4_26,4
136,D28-4_27,3
137,D28-4_28,6
138,D28-4_29,2
139,D28-4_30,2
140,D28-4_31,1
141,D28-4_37,2
142,D28-4_38,4
143,D28-4_39,2
144,D28-4_40,5
145,D28-4_41,2
146,D28-4_43,6
147,D28-4_49,5
148,D28-4_50,6
149,D28-4_51,5
150,D28-4_52,6
151,D28-4_54,5
152,D28-4_55,6
153,D28-4_56,2
154,D28-4_61,5
155,D28-4_62,2
156,D28-4_63,5
157,D28-4_65,2
158,D28-4_67,5
159,D28-4_73,6
160,D28-4_74,6
161,D28-4_75,5
162,D28-4_76,2
163,D28-4_77,1
164,D28-4_78,6
165,D28-4_85,5
166,D28-4_86,5
167,D28-4_87,2
168,D28-4_88,1
169,D28-4_89,5
170,D28-4_90,4
171,D28-4_91,6
172,D29-1_1,2
