Individual,Solution Score,Length
['A1CF' 'A2ML1' 'A2M' ... 'ZSWIM1' 'ZW10' 'ZWINT'],0.4526204977309625,3723
['A1CF' 'A2ML1' 'A2M' ... 'ZSWIM1' 'ZWINT' 'ZZEF1'],0.45385069394620253,4555
['A1CF' 'A2ML1' 'A2M' ... 'ZSWIM1' 'ZWINT' 'ZZEF1'],0.45385069394620253,4555
['A2ML1' 'A2M' 'A4GNT' ... 'ZSWIM1' 'ZWINT' 'ZZEF1'],0.454675562180948,4576
['A1CF' 'A2ML1' 'A2M' ... 'ZSWIM1' 'ZWINT' 'ZZEF1'],0.454675562180948,4579
['A2ML1' 'A2M' 'A4GNT' ... 'ZSWIM1' 'ZWINT' 'ZZEF1'],0.454675562180948,4576
['A1CF' 'A2ML1' 'A2M' ... 'ZSWIM1' 'ZWINT' 'ZZEF1'],0.454675562180948,4579
['A1CF' 'A2ML1' 'A2M' ... 'ZSWIM1' 'ZWINT' 'ZZEF1'],0.454675562180948,4980
['A1CF' 'A2M' 'A4GNT' ... 'ZW10' 'ZWINT' 'ZZEF1'],0.454675562180948,6259
['A2ML1' 'A2M' 'A4GNT' ... 'ZSWIM2' 'ZWINT' 'ZZEF1'],0.45262049773096263,6436
