Individual,Solution Score,Length
['AARSD1' 'AASDHPPT' 'AASS' ... 'USP10' 'VNN2' 'BOC'],0.7689484,6657
['A1BG' 'AADAC' 'AAMP' ... 'USP10' 'VNN2' 'BOC'],0.7667398,6549
['A1BG' 'AADAC' 'AAMP' ... 'USP10' 'VNN2' 'BOC'],0.7667398,6549
['A1BG' 'AADAC' 'AAMP' ... 'USP10' 'VNN2' 'BOC'],0.7667398,6549
['A1BG' 'AADAC' 'AAMP' ... 'USP10' 'VNN2' 'BOC'],0.7670315,6532
['A1BG' 'AADAC' 'AAMP' ... 'USP10' 'VNN2' 'BOC'],0.7670315,6532
['A1BG' 'AADAC' 'AAMP' ... 'USP10' 'VNN2' 'BOC'],0.7671455,6540
['A1BG' 'AADAC' 'AAMP' ... 'USP10' 'VNN2' 'BOC'],0.7688256,6547
['A1BG' 'AADAC' 'AAMP' ... 'USP10' 'VNN2' 'BOC'],0.7688256,6547
['A1BG' 'AADAC' 'AAMP' ... 'USP10' 'VNN2' 'BOC'],0.7688256,6547
